category,text
politics,"toronto june 07 2021 globe newswire montero mining and exploration ltd. tsx v mon montero or the company has mapped an area of extensive quartz veins in the newly staked isabella oriental concession block. mapping has also been extended to the docamavida area south of isabella where a new style of gold occurrence has been discovered. both areas are outside of the target areas undergoing drill testing by the company. dr tony harwood president of montero commented i am pleased to confirm by mapping an extensive vein system identified in recently staked isabella oriental area to the east of the current drilling program. our mapping has also discovered a new gold occurrence associated with tourmaline breccia dykes in the docamavida area to the south. the mapping confirms that granite hosted gold silver mineralized quartz veins extend along the entire 12 kilometers of the southern granite sediment contact in the isabella district. the company has completed a detailed mapping program in select areas to better understand the occurrences of mineralized quartz veins and their spatial association within and adjacent to leucogranite figure 1 . the mapping has identified a narrow 200 m band of volcanic rocks that extends in an east west direction adjacent to the southern contact of the isabella granite. the volcanic unit is host to numerous gossan breccia boulders that occur south of the isabella east property and which have been previously described by the company. isabella oriental detailed map area the mapping has identified numerous structurally controlled quartz veins that are spatially associated with a leucogranite phase of the isabella granite. previous sampling of the veins prior to montero reported assays up to g t au and 19 g t ag. two dominant quartz vein systems are identified a km long north east trending vein array and a 1 km long north south trending vein array. individual quartz veins are up to 3 m in width. mapping has also confirmed the extent of volcanic rocks within the metasediments along the southern contact of the isabella granite pluton. quartz veins have been identified within the volcanics and also in metasediment adjacent to the leucogranite and represent exploration targets for potential au ag mineralized quartz veins. docamavida map area the docamavida area is located south of the mataquito river figure 1 and was the site of historical mining activity. previous exploration prior to the acquisition by montero identified abundant quartz boulders at surface and also quartz veins within granitic rock figure 3 . reported assays of exposed veins range up to g t au and 12 g t ag with high concentrations of arsenic of up to 3000 ppm as. the isabella veins to the north in contrast contain very low as concentration. the quartz veins at docamavida display massive to breccia textures with evidence of repeated faulting along vein margins. individual veins are up to m in width and up to 100 m in strike length. veins have a lenticular morphology and form part of a more extensive extensional vein system. mapping confirmed the presence of historical mine pits and exposed quartz veins. the veins are controlled within north east structures and occur within a leucogranite similar to that described in the isabella area to the north and also within fault zones along the contact with metasediment inliers figure 4 . samples of quartz veins collected by montero from a fault zone assayed up to g t au and 1144 ppm as. the mapping also discovered an area of quartz tourmaline breccia dykes in the southern part of the property for which samples collected by montero assayed up to g t au and 183 ppm bi. montero will continue to evaluate areas of the isabella properties as part of a district wide resource assessment. summary the detailed mapping provides for some important exploration assumptions. based on the recent mapping the volcanic and granite rocks defined at isabella post date formation of the triassic sediments. both rock types are interpreted to have developed during the jurassic to cretaceous periods. previous mapping by munoz 1995 reported that similar volcanics near the town of hualane to be of upper jurassic age and coeval with a series of small intermediate intrusive bodies that occur within volcanics. as such an assumed early to mid jurassic age for the volcanic linear mapped along the southern contact at isabella is consistent with the munoz interpretation. the interpretation of a roof pendant of meta sediments and volcanics within the leucogranite in isabella oriental indicates the granite pluton to be younger than both rock types. field relationships also suggest the leucogranite phase formed within an upper part of the granite pluton and could be a younger more differentiated phase of the isabella granite. the spatial association of au ag mineralized quartz veins with intermediate felsic intrusive and volcanics of jurassic to later cretaceous age have been documented in the talca area to the south east where the chepica au ag cu mine occurs and also to the north near rancagua where yamana operates the minera florida mine. these observations indicate that further exploration is warranted in the isabella district which has similar geological features. qualified person statement this press release was reviewed and approved by mr. mike evans nat. who is a qualified person for the purpose of national instrument 43 101 and a consulting geologist to montero. a review was also undertaken by sr. marcial vergara who is resident of chile and a qualified person for the purpose of national instrument 43 101 and a technical advisor to montero. sr. vergara has extensive experience in gold exploration in chile. about montero montero is a junior exploration company focused on finding exploring and advancing globally significant gold deposits in chile. the company is in the process of relinquishing its portfolio of battery metal projects in africa to focus on gold opportunities in chile. montero s board of directors and management have an impressive track record of successfully discovering and advancing precious metal projects. montero trades on the tsx venture exchange under the symbol mon and has 38647485 shares outstanding. for more information contact montero mining and exploration ltd. dr. tony harwood president and chief executive officer e mail tel 1 416 840 9197 fax 1 866 688 4671 . neither tsx venture exchange nor its regulation services provider as that term is defined in the policies of the tsx venture exchange accepts responsibility for the adequacy or accuracy of this release. cautionary statement regarding forward looking information this news release includes certain forward looking information within the meaning of applicable canadian securities laws. forward looking information includes but is not limited to statements projections and estimates. generally forward looking information can be identified by the use of forward looking terminology such as plans expects or does not expect is expected budget scheduled estimates forecasts intends anticipates or does not anticipate or believes or variations of such words and phrases or state that certain actions events or results may could would might or will be taken occur or be achieved . such information is based on information currently available to montero and montero provides no assurance that actual results will meet management s expectations. forward looking information by its very nature involves inherent risks and uncertainties that may cause the actual results level of activity performance or achievements of montero to be materially different from those expressed or implied by such forward looking information. actual results relating to among other things completion of the hoa results of exploration project development reclamation and capital costs of montero s mineral properties and financial condition and prospects could differ materially from those currently anticipated in such statements for many reasons such as an inability to complete the hoa on the terms as announced or at all changes in general economic conditions and conditions in the financial markets changes in demand and prices for minerals litigation legislative environmental and other judicial regulatory political and competitive developments technological and operational difficulties encountered in connection with montero s activities and other matters discussed in this news release and in filings made with securities regulators. this list is not exhaustive of the factors that may affect any of montero s forward looking statements. these and other factors should be considered carefully and accordingly readers should not place undue reliance on forward looking information. montero does not undertake to update any forward looking information except in accordance with applicable securities laws. """
labour,"provo utah ap one of the many negative impacts of the covid 19 pandemic in utah county and throughout the state and county has been an increase in opioid abuse according to a local public health expert. this information was presented to the utah county commission during a work session on wednesday where gabriela murza who leads utah state university extension s heart initiative in utah county discussed the state funded program which brings academic resources into the community partnering locally and nationally to address the opioid epidemic and other pressing public health issues the daily herald reported. other counties served by the program include salt lake davis tooele and box elder counties. murza told the commissioners that the rate of opioid use disorder has leveled off in recent years and the trend seems to be getting a little bit better in utah. but the public health professor added then 2020 hit and everywhere the numbers went up they did increase as far as deaths due to opioids. as far as utah county specifically the trends seem to be going down or leveling off. they seem to be getting better. but again with things like covid that happened those numbers are going to be skewed and it might take some time to bring those levels down again murza said. while national data typically lags by two years meaning the most recent national data available is from 2019 murza said she expects to see some really kind of scary data for 2020. because it s not only opioid use itself it s not only the taking of that prescription or that opioid she said. but it s also the stress that came with covid the stress the inability to maintain those close relationships or even being able to go to recovery and support services or be able to get the treatment that they needed. even if it was virtual that wasn t available for everybody. but murza also noted that she is feeling positive about the heart initiative s work in utah county and said she looks forward to continuing to educate and prevent opioid abuse. i know the work is there the work is definitely there she said. so it ll take some time. commissioner bill lee noted that utah officials have made efforts in recent years to address and prevent opioid abuse in the state. we put some significant effort into trying to educate a few years ago on that level and got our hospitals and doctors and dentists and others to buy in and find ways to help especially on the prescription opioid side lee said. also during wednesday s work session 4 h mentoring coordinator brandon summers told the commission that the youth program which deals with youth ages 9 15 who are considered more at risk has expanded significantly over the last few decades. summers said most mentors in the program are college aged students who act as a big brother or big sister to these kids and a role model and someone that they can look to since a lot of these kids come from very challenging circumstances. the program received two federal grants from the department of justice s office of juvenile justice and delinquency prevention equating to about million in funding for the next three years according to summers. copyright 2021 the associated press. this information was presented to the utah county commission during a work session on wednesday where gabriela murza who leads utah state university extension s heart initiative in utah county discussed the state funded program which brings academic resources into the community partnering locally and nationally to address the opioid epidemic and other pressing public health issues the daily herald reported. according to murza the program operates in nine counties including utah county where opioid use disorder has had some of the most devastating effects as far as overdose and deaths related to opioid use. other counties served by the program include salt lake davis tooele and box elder counties. murza told the commissioners that the rate of opioid use disorder has leveled off in recent years and the trend seems to be getting a little bit better in utah. but the public health professor added then 2020 hit and everywhere the numbers went up they did increase as far as deaths due to opioids. as far as utah county specifically the trends seem to be going down or leveling off. they seem to be getting better. but again with things like covid that happened those numbers are going to be skewed and it might take some time to bring those levels down again murza said. while national data typically lags by two years meaning the most recent national data available is from 2019 murza said she expects to see some really kind of scary data for 2020. because it s not only opioid use itself it s not only the taking of that prescription or that opioid she said. but it s also the stress that came with covid the stress the inability to maintain those close relationships or even being able to go to recovery and support services or be able to get the treatment that they needed. even if it was virtual that wasn t available for everybody. but murza also noted that she is feeling positive about the heart initiative s work in utah county and said she looks forward to continuing to educate and prevent opioid abuse. i know the work is there the work is definitely there she said. so it ll take some time. commissioner bill lee noted that utah officials have made efforts in recent years to address and prevent opioid abuse in the state. we put some significant effort into trying to educate a few years ago on that level and got our hospitals and doctors and dentists and others to buy in and find ways to help especially on the prescription opioid side lee said. also during wednesday s work session 4 h mentoring coordinator brandon summers told the commission that the youth program which deals with youth ages 9 15 who are considered more at risk has expanded significantly over the last few decades. the program received two federal grants from the department of justice s office of juvenile justice and delinquency prevention equating to about million in funding for the next three years according to summers. copyright 2021 the associated press. all rights reserved. """
education,"in november the nsw government unveiled a 337m program to deliver free tutoring support to students across the state in a bid to lift their academic outcomes. the program which will be available to eligible schools from term 3 will provide schools with ongoing support and access to small group tutoring for selected students delivered by accredited and qualified nsw teachers. since the announcement in november the department has been assisting schools in identifying students who would benefit the most from the program and tailoring support to suit the students learning requirements. nsw education minister sarah mitchell recently confirmed that 5417 tutors have been employed in nsw public schools with almost 99 of schools already offering tutoring support to their students. this week online tutoring service cluey learning was selected as one of four tutoring companies to help the nsw government roll out the program across the state to high priority schools. cluey learning s cutting edge technology platform combines live online tutoring custom designed and mapped content and an adaptive learning platform to help school students accomplish their learning goals. the research is clear that small group tutoring is a highly effective teaching and learning strategy and the earlier it is adopted the better cluey learning chief learning officer dr selina samuels told the educator. integrating this program alongside the classroom without disrupting all students and adding more burden to teachers is the intervention that students need to lay solid foundations for future learning . dr samuels said the pilot program that cluey ran in nsw in 2020 with a small group of schools showed the gains students can make with tailored and engaging support. this along with relieving the pressure on teachers is set to make a big difference in nsw schools . dr samuels said there are several ways in which principals can work alongside the tutors to ensure they achieve maximum impact with regards to improving student outcomes. it is important for the success of the program for the school leaders and teachers to work closely with the tutoring provider she said. at cluey we speak directly to the principal and other school leaders to make sure that we know their students and their learning needs . dr samuels said cluey learning works alongside the teachers to make sure that the groups are assembled and the programs defined to ensure the best possible outcome for each student. """
lifestyle,"boris johnson dashed more holiday hopes today as he said he would have no hesitation in moving green list destinations to the red list to save lives. the pm refused to be drawn on whether experts would add any more countries to the green list when they update it tomorrow. read our coronavirus live blog for the latest updates . the pm warned today he would not hesitate to take countries off the green list credit reuters . brits hope the green list will open up tomorrow to more countries . as it stands it s looking unlikely that many will change if at all and the list of countries brits can go to looks set to be very limited. speaking today the pm was very downbeat at the prospect of opening more countries up for travelling. asked whether there may be more countries added to the green list soon where there are no requirements to quarantine on returning to the uk the prime minister said you ve got to wait and see what the joint biosecurity centre say and what the recommendations are about travel. we re going to try to allow people to travel as i know that many people want to but we ve got to be cautious and we ve got to continue to put countries on the red list on the amber list when that is necessary. we will have no hesitation in moving countries to the red list to the amber list if we have to do so. the priority is to continue the vaccine rollout to protect the people of this country. it comes as millions of brits heading abroad were warned of carnage due to the chaotic testing facilities. families have found themselves paying hundreds of pounds extra after their mandatory covid test results did n t arrive in time to go home. travel editor rory boland advised families to book package holidays with tour operators who offer covid tests as they will then let you move your holiday if the result does n t arrive in time. however he added but that s not a given and will be no consolation to people who have fixed dates. the private testing system is already struggling it will be carnage when people start travelling again. 43 high risk nations are currently on the government s travel red list. brits are currently banned from travelling to red list countries or territories but a government review is imminent. robert boyle a former ba strategist said that he had looked at which countries might be added to the red list based purely on covid infection rates. british holidaymakers are likely to be banned from flying to bahrain costa rica trinidad and tobago and kuwait he predicted. malta finland and slovakia may get the green light however. brits on the beach in essex today as people choose to stay in the uk instead credit rex . margate was packed with sun seekers today credit pa . both the canary and the balearic islands in spain could be added according to pc agency s paul charles as well as malta and jamaica. there are currently 12 countries on the green list which have a low rate of infections and a steady number of vaccinations being distributed. holidaymakers can jet off to those nations without the worry of quarantine restrictions as foreign holidays have now restarted. but passengers do have to take a test before they fly to prove they are covid free which can still add costs to holiday bills. all of the countries on the green list are . israel . tunisia welcomes fully vaccinated brits with no quarantine or tests . covid testing carnage puts summer hols at risk for millions of families . green list announcement expected this week says travel expert . amber list countries full list of holiday destinations . """
weather,"a lot of south island areas will see rain on sunday while the north island generally waits until monday for the worst of the weather to hit. this means new zealand can expect . warmer than average daytime and night time temperatures . heavy rain developing for the western south island . metservice has issued weather watches and warnings for much of the west coast of the south island. westland south of harihari between 10 00pm tonight saturday and 10 00pm tomorrow night sunday expect 200 250mm of rain about the ranges with 80 110mm nearer the coast. headwaters of the otago lakes and rivers between 12 00am midnight tonight and 4 00pm tomorrow sunday expect 200 to 250mm of rain about the divide with 70 to 110mm accumulating within 15km east of the divide. ranges of westland between harihari and otira between 6 00am tomorrow morning sunday and 11 00pm tomorrow night expect 80 to 100mm of rain about the ranges. fiordland north of doubtful sound between 11 00pm tonight saturday and 4 00pm tomorrow sunday expect periods of heavy rain. ranges of buller nelson west of motueka between 3 00pm and midnight tomorrow sunday expect periods of heavy rain. "" "
other,"maryland with independence day right around the corner historic london town gardens planned a revolutionary celebration. guided tours will offer insight into the colonial days. a reading of the declaration of independence is also in store. patch recently partnered with several local organizations to bring you their latest news. this guest contribution comes from national park service chesapeake gateways and chesapeake conservancy. here s what jody hedeman couser submitted to help you explore the chesapeake bay . revolutionary london town . meet individuals from london town s past and discover what they thought of the revolution. take one of the guided tours listen to a reading of the declaration and participate in some colonial crafts you ll even get the chance to play tavern games in the newly restored william brown house. program fee is 10 for adults 9 for seniors 5 for youth ages 7 to 17 and 3 for children ages 4 to 6. fee includes admission to london town. july 10 11 10 00 am to 4 00 pm historic london town gardens edgewater maryland. more information. catonsville . catonsville . discover patuxent refuge by bike . enjoy a summer bicycle ride while experiencing the beauty of the patuxent research refuge s local wildlife plants and historical sites. learn the importance of reducing your footprint and leaving no trace on the 12 mile guided bicycle ride. bring your own bike snack water bottle and helmet. free reservations required. july 10 10 00 am to 12 30 pm patuxent research refuge laurel md. more information and registration. maryland s bees webinar . did you know that there are around 400 native species of bees in maryland alone from busy honey bees to tiny sweat bees and tunneling miner bees there are lots of different bee species found across the state. join sam droege and pickering creek audubon center staff to discuss the yellow and black buzzing insects that can be found across the old line state. july 6 7 00 pm to 8 00 pm. more information and registration. explore the current weather and captain john smith s historic voyage with cbibs . head out on the water and learn firsthand the experiences of captain john smith s voyage on noaa s chesapeake bay interpretive buoy system. cbibs provides real time weather and environmental information as well as a glimpse into living chesapeake bay history. you can also download the app for your android or iphone from the website. note some buoys may be offline with no data currently available. take a virtual tour of the captain john smith chesapeake national historic trail from your computer or mobile device to help you plan your trip before you go the chesapeake conservancy partnered with terrain360 to bring you virtual tours of the trail s great rivers. sit back and virtually explore the elk james sponsored by the james river association nanticoke northeast patapsco patuxent potomac rappahannock sassafras susquehanna and york rivers. check out some of the chesapeake s special places like werowocomoco fones cliffs baltimore s inner harbor and mallows bay. we hope to eventually bring you a virtual tour of the entire chesapeake trail explore the chesapeake s great rivers on our website. """
health,"graves of people who had recently died due to the coronavirus disease covid 19 are seen at the cemetery of nembro near bergamo italy may 13 2020. samples from a study suggesting the coronavirus was circulating outside china by october 2019 have been re tested at the world health organization s wto request two scientists who led the italian research said. there is growing international pressure to learn more about the origins of the pandemic that has killed more than 3 million people worldwide and president joe biden last week ordered his aides to find answers. the who reacted to biden s announcement that intelligence agencies were pursuing rival theories including the possibility of a laboratory accident in china by saying the search was being poisoned by politics . read more . covid 19 was first identified in the central chinese city of wuhan in december 2019 while italy s first patient was detected on feb. 21 last year in a small town near milan. however a study published last year suggested antibodies to either the virus or a variant were detected in italy in 2019. that prompted chinese state media to suggest the virus might not have originated in china although the italian researchers stressed the findings raised questions about when the virus first emerged rather than where. the who asked us if we could share the biological material and if we could re run the tests in an independent laboratory. we accepted giovanni apolone scientific director of one of the lead institutions the milan cancer institute int said. who is in contact with the researchers that had published the original paper. a collaboration with partner laboratories has been set up for further testing a who spokesman said. the spokesman said the who was aware that the researchers are planning to publish a follow up report in the near future . he said the un agency has contacted all researchers who have published or provided information on samples collected in 2019 that were reported to have tested positive for sars cov 2 but does not yet have the final interpretation of the results. the italian researchers findings published by the int s scientific magazine tumori journal showed neutralising antibodies to sars cov 2 in blood taken from healthy volunteers in italy in october 2019 during a lung cancer screening trial. most of the volunteers were from lombardy the northern region around milan which was the first and hardest hit by the virus in italy. none of the studies published so far have ever questioned the geographical origin apolone told reuters. the growing doubt is that the virus probably less powerful compared to later months was circulating in china long before the reported cases apolone added. the who chose the laboratory of the erasmus university in rotterdam for the re test emanuele montomoli co author of the original study and professor of public health at the molecular medicine department in the university of siena said. the erasmus university did not reply to requests for comment. italian researchers sent the team in rotterdam 30 biological samples from october december 2019 that they had found positive 30 samples from the same period they had tested negative and 30 samples from as far back as 2018 negative. we sent them blind that means our colleagues did not know which samples were positive and which negative apolone said. they rechecked our samples with commercial tests which are much less sensitive than the ones we devised and validated montomoli said. despite the differences in the two detection methods both italian scientists said they were satisfied with the results delivered to them in late february adding that they could not comment further until the team of italian and dutch scientists have published their findings. we did not say in our study that we could establish without a doubt that the coronavirus later sequenced in wuhan was already circulating in italy in october montomoli said. we only found the response to the virus namely the antibodies. so we can say that this coronavirus or a very similar one perhaps a less transmissible variant was circulating here in october he added. """
lifestyle,"in 2019 locals here were complaining about crowded streets. now oia is a ghost town and they would do anything for green list status . following my early afternoon arrival i leave santorini s bustling ferry port and climb the steep road towards thira town. perched on the rim of the world s most instagrammed caldera the sugar white villages high above us shimmer mirage like in the early june heat. he points to the port far below. it s busy now because a ferry has just arrived but schedules have been cut there are barely any ferries now. normally i would be taking people back and forth to the port all day long but now. he shakes his head. the hotels are open but the tourists are not yet here. greece has unlocked the door to tourism but santorini is still quiet credit getty . like many local santorini businesses giorgos was overjoyed when tui s mein schiff ship carrying around 1000 german tourists sailed from crete to santorini on may 14. he is hoping that the cruise ships will come back and bring the tourists with them. in 2019 more than million cruise passengers came here that s nearly half of all our visitors he says. we complained then about crowded streets and all the people climbing to oia for the sunsets but now oia is a ghost town and we would do anything to have those crowds again. originally lauded for its handling of the pandemic greece has seen a spike in covid cases over the past few months. people think it is affecting all of greece but most of those cases are in athens and the north not so many here in santorini says aris salonikas the manager of kivotos a luxury all suite hotel in imerovigli a village known as the balcony of the aegean because of its breathtaking caldera views. aris tells me that he is praying that the uk will add santorini to the green list soon. in normal years the uk made up only about 20 per cent of our clientele but last year it was the uk that kept santorini afloat they were by far our main clients. we re hoping this year will be the same he tells me. locals say touristy oia is now a ghost town credit getty . like many of the island s hotels kivotos has been badly affected by the pandemic. imagine we first opened our doors in 2019. we worked for a few months and then the pandemic hit and we stayed closed for all of 2020 it s very difficult aris says. speaking in a recent press conference the country s tourism minister harry theoharis predicted that tourist levels in greece this year would be around 50 per cent of 2019 but christina tetradi the deputy president of the greek hoteliers union has said that bookings in may were non existent and that only 10 per cent of the country s hotels have opened so far. only million greeks roughly 20 per cent of the population have received both doses of the covid 19 vaccine and many are blaming this slow rollout for the sluggish start to the country s vital tourist season. vowing to ramp up the country s vaccination campaign prime minister kyriakos mitsotakis launched operation blue freedom last month promising that residents of all greek islands will be vaccinated by the end of june. when the government said we would have tourists by mid may we knew it would be more like july aris says wryly. with vaccinations i think it is the same. it s all very well saying that greece is open but just yesterday i learnt that the chinese and the russians can t come here because they have the wrong vaccines. no one knows what this year will be like and yet so many people s livelihoods depend on us having a good season. i think that all eyes here in santorini will be on the uk s revised green list. """
religion,"patrik mathews a former canadian reservist and member of the neo nazi group the base pleaded guilty to several firearms charges today. patrik mathews left and a meetup by the neo nazi group the base where he partook in military training and ritualistically killing a ram right. an ex canadian soldier who slipped into the illegally to join other members of the neo nazi terror group he was once a central part of plead guilty to firearm charges today in a maryland court. patrik mathews 27 is facing charges linked to an alleged plot to shoot up a gun rights rally his membership in the base and his illegal entry into the he and his co accused brian lemley jr. who was once the maryland cell leader for the base were also accused of producing the drug and making an illegal ghost gun with mathews pleading guilty to the latter. both are facing several decades in prison for their alleged crimes. court documents viewed by vice show that mathews and lemely put in their guilty pleas on june 9. journalists attending the court hearings on thursday indicated the guilty pleas were for the firearm related charges. in december the third defendant in the case william bilbrough pleaded guilty to conspiracy to help transport mathews a canadian and foreign national across the border illegally and was sentenced to five years in prison. mathews will be sentenced in the fall. the guilty plea filed by patrik mathews. in august 2019 after police began investigating mathews connections to the base after a bombshell feature in the winnipeg free press exposed his activities inside the group mathews disappeared. the only trace of him was his car left near the canada border between manitoba and minnesota. days after his illegal crossing lemley and billborough met mathews and drove him to delaware where he was harbored by the group for nearly five months in an apartment owned by lemley which vice news revealed a month before he was eventually arrested. during that time the three plotted an attack on a pro gun demonstration that was scheduled to be held in richmond virginia in january 2020. the plan which also involved derailing local trains centered on opening fire on the marching crowd from the rooftops near the state capitol hoping to sow confusion in the crowd and force armed protesters to exchange fire with police. the potential carnage in the minds of lemley and mathews would spark a race war and energize the white supremacist movement in the to revolt against the government. but before they could enact the plot the fbi raided their apartment in january 2020 only days before the rally arresting all three men in advance of the planned terror attack. mathews was a trained combat engineer and reservist in the canadian armed forces caf which has a well documented problem with far right infiltrators. he was booted from the military shortly after his ties to the base came to light. but mathews didn t let his soldiering skills go to waste and trained fellow members of the terror group in various paramilitary tactics at an october 2019 training camp in georgia where he helped behead a ram and allegedly dropped acid with other members of the group. little did the base know an fbi undercover agent was in attendance at the camp under an alias and logged all of the crimes which was then used to lay charges on mathews and several others. """
arts,"we all know the radio ratings cliches. you re only as good as your last survey. everyone s a winner depending on how you cut the numbers. but even with all this in mind there were some unusual numbers coming out of sydney in survey 1. here radio today s vivienne kelly talks to the fm commercial content directors to see if it s left them scratching their heads and what they re going to do about it. in the sydney market last week only two fm stations experienced an increased share both of which were starting from a pretty low base. the bump for triple j tends to come alongside its janaury based hottest 100 countdown. the rest is a little more difficult to explain. on the australian radio network arn kiis fell points to a share and wsfm was down to things were even more dramatic for kiis in the demos with the station losing points in people aged 18 to 24 down to an share from and shedding a further points in 25 to 39s down to breakfast was also not immune with the seemingly untouchable kyle jackie o on kiis falling points to taking them back down below the magical double digits and jonesy amanda on wsfm falling points to this put the duo below nova s fitzy wippa down points to and triple m s moonman in the morning up to . the network s chief content officer duncan campbell however says he s not placing any weight on this sydney survey and won t be reacting to it at all. campbell says this book is an anomaly . the book is just a strange book in sydney he tells radio today. and obviously the methodology s robust it is statistics and there are some anomalies which do occur and i think it is one of those books he says pointing to the abc s overall point rise 2ue s point climb and 2gb s uplift. it looks like an am book to me which does happen every now and then one of those things. we re not putting any kudos in the results we re not changing anything. he said the kyle jackie o show is stronger than ever this year the content s been extraordinary and predicts they will continue to have a great year. and as for jonesy amanda he says they re on fire and sounding better than they have in previous years. disappointing for them today but every time ws has taken a hit it always bounces back and so i expect that to bounce back as well he says noting the network will ramp up its marketing efforts for the duo. nova entertainment s chief programming and marketing officer paul jackson also noted the anomalies and even backed campbell s prediction that kiis and wsfm would recover. i think if we re talking about measuring shows in sydney it s pretty difficult for a lot of stations to do to be fair especially in survey 1 he says. i think for a show like fitzy wippa it s probably got a stronger number than to come and that probably is reflective of just that january and february period. i would probably say the same to be fair for kiis and ws as well. going forward you ll see improved numbers and back to something more like the norms. the book is just a strange book in sydney he tells radio today. and obviously the methodology s robust it is statistics and there are some anomalies which do occur and i think it is one of those books he says pointing to the abc s overall point rise 2ue s point climb and 2gb s uplift. so it s a bit of an odd book. it looks like an am book to me which does happen every now and then one of those things. we re not putting any kudos in the results we re not changing anything. he said the kyle jackie o show is stronger than ever this year the content s been extraordinary and predicts they will continue to have a great year. and as for jonesy amanda he says they re on fire and sounding better than they have in previous years. nova entertainment s chief programming and marketing officer paul jackson also noted the anomalies and even backed campbell s prediction that kiis and wsfm would recover. i think if we re talking about measuring shows in sydney it s pretty difficult for a lot of stations to do to be fair especially in survey 1 he says. i think for a show like fitzy wippa it s probably got a stronger number than to come and that probably is reflective of just that january and february period. i would probably say the same to be fair for kiis and ws as well. going forward you ll see improved numbers and back to something more like the norms. jackson has no concerns about fitzy wippa s share dip . jackson notes the streaming numbers for nova in sydney were high throughout the early summer period which could have impacted the survey and says he had no concerns about fitzy wippa s show which will celebrate its 10 years in breakfast in september we love them to bits . sca s chief content officer dave cameron meanwhile was facing plenty of scrutiny with his revamped 2dayfm breakfast show of the morning crew with hughesy ed erin. it went up a minuscule points to but as cameron says in a survey like this he ll take it. he then backs the other cds noting the unusual sydney results. sydney s a strange one in that 2day was the only fm commercial staton that went up albeit only but you know it had some pretty wild swings away from a lot of those marquee shows in the city. he notes the debut of the morning crew with a share may seem small however it is the highest debut since the station lost kyle jackie o. the fm leaders went out on a share on 2day back in 2013. their first show on kiis in 2014 had not far off where they sit today with 2day s replacement lineup with jules lund sophie monk merrick watts and spice girl mel b debuted to dan maz to rove sam to jackson notes the streaming numbers for nova in sydney were high throughout the early summer period which could have impacted the survey and says he had no concerns about fitzy wippa s show which will celebrate its 10 years in breakfast in september we love them to bits . sca s chief content officer dave cameron meanwhile was facing plenty of scrutiny with his revamped 2dayfm breakfast show of the morning crew with hughesy ed erin. it went up a minuscule points to but as cameron says in a survey like this he ll take it. yea look up is good down is bad he jokes of the result. there s kind of a simple strategy sometimes he says. he then backs the other cds noting the unusual sydney results. sydney s a strange one in that 2day was the only fm commercial staton that went up albeit only but you know it had some pretty wild swings away from a lot of those marquee shows in the city. the fm leaders went out on a share on 2day back in 2013. their first show on kiis in 2014 had not far off where they sit today with 2day s replacement lineup with jules lund sophie monk merrick watts and spice girl mel b debuted to dan maz to rove sam to it s getting on the radar of sydney and that s going to take all of 12 months and then some just to have potential audiences even know about a new show that s on a station. it s a huge city and trying to get that frequency of marketing to remind people that there s something new is a hell of a challenge for us but it s an exciting challenge. i also know that the show is right the product s right they ve kind of hit the ground running and we need to put all our effort and energy into getting the sydney audience to now embrace and know that it s there. """
disaster,"when jeff bezos climbs into the new shepard capsule for its first passenger trip to space next month his safety will be almost entirely in the hands of the spaceflight company he founded two decades ago. mr. bezos plans to join the small band of tourists who have flown in space as the emerging industry prepares to launch hundreds of people aloft. for now they aren t protected by the meticulous federal safety regulations that govern commercial air travel. passengers planning a ride on the new shepard must sign a form waiving their right to sue mr. bezos blue origin llc in the event of an accident. richard branson s virgin galactic holdings inc. which plans to send paying passengers on its space plane as early as next year requires a similar step. congress agreed in 2004 to let the space tourism industry self regulate to speed its preparations for passenger flights. years of delays including an accident that killed a virgin galactic test pilot in 2014 have pushed back the start of flights for fare paying passengers. the policy has been extended several times and now runs until october 2023. the federal aviation administration s jurisdiction is limited to protecting public safety and the environment during launches and re entries a spokesman for the agency said. congress has not allowed the faa to extend its authority to the safety of crew or space flight participants the spokesman said. """
